,GNPSLinkout_Network,LibraryID,MQScore,RTConsensus,RTMean,RTStdErr,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,componentindex,number_of_spectra,parent_mass,precursor_charge,precursor_mass,sum(precursor_intensity),V1,V2,V3,sum.precursor_intensity.,Chemical_family,Name,Notes,CF_class,CF_Dparent,CF_NrNodes,CF_subclass,CF_superclass,Compound_Name,id,stat.x,index.x,p.value_gut,groups.x,stat.y,index.y,p.value_diet,groups.y,stat.x,index.x,p.value_kt,groups.x,stat.y,index.y,p.value_host,groups.y,V1,V2,V3
3009_311.293_7.649,Connected,Spectral_Match_to_14(Z)-Eicosenoic_acid_from_NIST14,0.760066,7.6488,7.6488,0,CCMSLIB00003134660,0.025068499,24,5903,24,311.293,1,311.293,0.025068499,3009,311.293,7.649,0.025068499,Unsat. LCFA,Eicosenoic acid,14(Z)-Eicosenoic acid.,Prenol_lipids,Diterpenoids,5,Diterpenoids,Lipids_and_lipid-like_molecules,Spectral_Match_to_14(Z)-Eicosenoic_acid_from_NIST14,3009_311.293_7.649,0.648885685,3,1,s.Simplegut,0.659821858,3,0.23542,s.Omnivores,0.894427191,5,0.00638,s.Primates,0.811288833,159,1,"s.Chimp,s.Mandrill",3009,311.293,7.649
327_231.158_5.111,Connected,Spectral_Match_to_Dodecanedioic_acid_from_NIST14,0.952515,5.111,5.111,0,CCMSLIB00003138017,0.050646516,80,1566,80,231.1582,1,231.1582,0.050646516,327,231.158,5.111,0.050646516,Unsat. LCFA,Dodecanedioic acid,Dodecanedioic acid,NA,NA,NA,NA,NA,NA,327_231.158_5.111,0.948759304,4,0.00294,"s.Foregut,s.Hindgut",0.893007281,4,0.00596,"s.Carnivores,s.Herbivores",0.920944718,19,0.00319,"s.Afrotheria,s.Cetartiodactyla,s.Perissodactyla",0.582111027,193,0.00319,"s.Donkey,s.Sheep",327,231.158,5.111
6000_375.212_4.647,Connected,"(2E,6E,10Z)-12-hydroxy-10-(hydroxymethyl)-6-methyl-2-(4-methylpent-3-enyl)dodeca-2,6,10-trienoic_acid",0.706587,4.6474,4.6474,0,CCMSLIB00004709991,0.011703391,23,830,23,375.2125,1,375.2125,0.011703391,6000,375.212,4.647,0.011703391,Unsat. LCFA,Dodecatrienoic acid,Dodecatrienoic acid,NA,NA,NA,NA,NA,NA,6000_375.212_4.647,0.606976979,3,1,s.Simplegut,0.693736857,3,0.03874,s.Omnivores,0.710330417,2,0.35409,s.Carnivora,0.878936042,70,0.1914,"s.Black_bear,s.Brown_bear",6000,375.212,4.647
7093_416.314_6.076,Connected,N/A,N/A,6.0759,6.0759,0,N/A,0.004367294,19,2401,19,416.3136,1,416.3136,0.004367294,7093,416.314,6.076,0.004367294,Unsat. LCFA,Unsat. LCFA 1 (m/z 416.314),"Myxalamide A. NAP, high confidence",no_matches,no_matches,2,no_matches,no_matches,NA,7093_416.314_6.076,0.577350269,3,1,s.Simplegut,0.9911703,1,0.00298,s.Carnivores,0.733039534,2,0.23287,s.Carnivora,0.782592445,254,1,"s.Israeli_Wolf,s.Tiger",7093,416.314,6.076
13866_184.133_2.524,Connected,N/A,N/A,2.5243,2.5243,0,N/A,0.010642931,7,43,7,184.1328,1,184.1328,0.010642931,13866,184.133,2.524,0.010642931,Flavonoids,Flavonoid 1 (m/z 184.139),Flavonol. In silico/MolNetEnhancer.,Flavonoids,Flavonols,66,Flavones,Phenylpropanoids_and_polyketides,NA,13866_184.133_2.524,0.350438322,3,1,s.Simplegut,0.733799386,1,0.00298,s.Carnivores,0.509175077,2,1,s.Carnivora,0.897622842,244,1,"s.Hyena,s.Tiger",13866,184.133,2.524
289_349.127_2.727,Connected,N/A,N/A,2.7266,2.7266,0,N/A,0.180041045,39,2367,39,349.127,1,349.127,0.180041045,289,349.127,2.727,0.180041045,Flavonoids,Flavonoid 2 (m/z 349.127),In silico NAP ID. ,no_matches,no_matches,8,no_matches,no_matches,NA,289_349.127_2.727,0.904534034,4,0.00294,"s.Foregut,s.Hindgut",0.848528137,2,0.00298,s.Herbivores,1,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.818949198,220,0.00319,"s.Goat,s.Sheep",289,349.127,2.727
439_313.106_4.908,Connected,N/A,N/A,4.9076,4.9076,0,N/A,0.015063905,42,926,42,313.1057,1,313.1057,0.015063905,439,313.106,4.908,0.015063905,Flavonoids,Flavonoid 3 (m/z 313.106),O-methylated flavonoid based on NAP.,Flavonoids,8-O-methylated_flavonoids,10,O-methylated_flavonoids,Phenylpropanoids_and_polyketides,NA,439_313.106_4.908,0.94151577,1,0.00294,s.Foregut,0.883176087,2,0.00298,s.Herbivores,0.973993716,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.917172985,220,0.00319,"s.Goat,s.Sheep",439,313.106,4.908
304_447.309_7.242,Connected,N/A,N/A,7.2424,7.2424,0,N/A,0.034250686,42,82,42,447.3089,1,447.3089,0.034250686,304,447.309,7.242,0.034250686,Triterpenoids,Oat straw 1 (m/z 447.309),,no_matches,no_matches,87,no_matches,no_matches,NA,304_447.309_7.242,0.903477191,4,0.00882,"s.Foregut,s.Hindgut",0.841526388,2,0.00298,s.Herbivores,0.997890229,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.790146261,218,0.0319,"s.Goat,s.Rhino",304,447.309,7.242
277_433.329_7.715,Connected,N/A,N/A,7.7149,7.7149,0,N/A,0.695360011,53,82,53,433.3294,1,433.3294,0.695360011,277,433.329,7.715,0.695360011,Triterpenoids,Oat straw 2 (m/z 433.329),,no_matches,no_matches,87,no_matches,no_matches,NA,277_433.329_7.715,0.916224327,4,0.00294,"s.Foregut,s.Hindgut",0.886360488,2,0.00298,s.Herbivores,0.998197191,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.835678584,220,0.00319,"s.Goat,s.Sheep",277,433.329,7.715
341_447.309_7.748,Connected,N/A,N/A,7.7477,7.7477,0,N/A,0.033590403,39,82,39,447.309,1,447.309,0.033590403,341,447.309,7.748,0.033590403,Triterpenoids,Oat straw 3 (m/z 447.3294),,no_matches,no_matches,87,no_matches,no_matches,NA,341_447.309_7.748,0.909188571,1,0.00588,s.Foregut,0.797287773,2,0.00298,s.Herbivores,0.980809713,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.822294152,220,0.00638,"s.Goat,s.Sheep",341,447.309,7.748
