ATTRIBUTE_SampleType	GNPSGROUP:Bear	GNPSGROUP:Blank	GNPSGROUP:Capuchin	GNPSGROUP:Carnivore	GNPSGROUP:CarnivorousCat	GNPSGROUP:Chimp	GNPSGROUP:Coati	GNPSGROUP:Donkey	GNPSGROUP:Elephant	GNPSGROUP:Feces	GNPSGROUP:Food	GNPSGROUP:Gibbon	GNPSGROUP:Goat	GNPSGROUP:Gorilla	GNPSGROUP:Herbivore	GNPSGROUP:Lemur	GNPSGROUP:Mandrill	GNPSGROUP:Meat	GNPSGROUP:Omnivore	GNPSGROUP:Plants	GNPSGROUP:QC	GNPSGROUP:Rhino	GNPSGROUP:Sheep	GNPSGROUP:Wolf	GNPSGROUP:Zebra	LibraryID	MQScore	RTConsensus	SumPeakIntensity	UniqueFileSourcesCount	cluster_index	componentindex	number_of_spectra	parent_mass	precursor_mass
"Feces,Blank"	9.05E-06	0.000356037	0	0	0	0	1.53E-05	0	0	3.62E-06	0	0	0	0	4.12E-06	0	0	0	4.48E-06	0	0	0	0	0	1.29E-05	N/A	N/A	5.2193	0.001919024	5	38	-1	5	344.1365	344.1365
"Feces,Blank"	0.000130953	0.001503446	2.23E-05	4.93E-05	4.81E-05	0.000232683	0.000134571	0.000276201	0.000346106	0.000200077	0	0.000200326	0.000121965	0.00010636	0.000261094	0.000148527	0.000166823	0	0.000169484	0	0.00022392	0.000307723	0.000138812	5.60E-05	0.000284693	N/A	N/A	8.3634	0.02732296	106	39	437	106	570.4552	570.4552
"Feces,Blank,Food"	0.000244603	0.000338541	8.80E-05	3.51E-05	3.83E-05	6.13E-05	0.000128895	0.000227954	0.000342579	0.000149709	9.17E-07	0.000114888	8.23E-05	7.76E-05	0.000201327	6.00E-05	9.65E-05	4.12E-06	0.00011979	0	0.000164976	0.00028353	0.000101814	1.76E-05	0.000147199	N/A	N/A	3.7623	0.017069715	101	40	1457	101	167.07	167.07
"Feces,Blank,Food"	7.64E-05	0.000934872	3.18E-05	3.09E-05	3.11E-05	0.000158358	7.24E-05	0.000171711	0.000234152	0.000134261	2.75E-05	0.000129714	6.52E-05	8.74E-05	0.000179337	8.77E-05	0.00012725	1.35E-05	0.000111568	3.12E-05	0.000118562	0.000224274	7.51E-05	2.93E-05	0.000190068	N/A	N/A	7.4457	0.018956676	142	41	977	142	195.1738	195.1738
"Feces,Blank"	1.37E-05	0.000308196	0	9.23E-06	1.09E-05	0	2.60E-05	0.000100259	0	1.28E-05	0	2.26E-05	0	0	1.51E-05	0	0	0	9.09E-06	0	3.92E-05	7.83E-06	0	0	3.44E-05	N/A	N/A	5.2232	0.002671724	16	42	1890	16	219.1583	219.1583
"Feces,Blank"	4.45E-05	0.000337582	1.83E-05	2.07E-05	2.07E-05	9.67E-05	5.14E-05	0.000109292	0.000121666	7.85E-05	0	7.96E-05	0	4.12E-05	9.96E-05	6.81E-05	7.93E-05	0	7.02E-05	0	8.34E-05	0.000122106	3.62E-05	2.04E-05	0.000117458	N/A	N/A	7.0924	0.009626441	96	43	-1	96	929.6052	465.3026
"Feces,Blank,Food"	5.40E-05	0.000771181	2.39E-05	1.82E-05	1.70E-05	0.000101361	5.90E-05	0.000155517	0.00014102	9.29E-05	1.10E-05	0.000215372	3.66E-05	6.75E-05	0.000116295	7.72E-05	9.50E-05	3.94E-06	8.92E-05	1.28E-05	7.40E-05	0.000148478	5.15E-05	2.50E-05	0.000118856	N/A	N/A	7.8094	0.013378165	137	44	-1	137	391.1055	391.1055
"Feces,Blank"	9.38E-05	0.001017111	4.61E-05	3.58E-05	3.68E-05	0.000169262	8.73E-05	0.000202625	0.000249543	0.000145918	0	0.000160471	6.79E-05	9.23E-05	0.000185683	0.00011701	0.000149628	0	0.000129452	0	0.000169117	0.000229531	9.55E-05	3.01E-05	0.00018764	N/A	N/A	8.1275	0.019583002	106	45	-1	106	473.3429	473.3429
"Feces,Blank,Food"	2.62E-05	0.001303791	0	8.79E-06	8.59E-06	7.04E-05	1.56E-05	0	6.68E-05	3.79E-05	2.39E-05	8.44E-05	0	7.74E-05	3.48E-05	5.82E-05	6.65E-05	1.06E-05	5.00E-05	2.73E-05	6.26E-05	4.11E-05	0	9.90E-06	1.28E-05	N/A	N/A	4.2588	0.010406644	89	46	3731	89	251.1615	251.1615
"Feces,Blank"	9.72E-05	0.000236593	2.21E-05	3.14E-05	3.07E-05	0.000131988	7.91E-05	0.00013985	0.00012402	9.40E-05	0	0.000108815	0	6.34E-05	0.000104733	5.85E-05	0.000104044	0	0.000101359	0	9.48E-05	0.000137404	1.91E-05	3.54E-05	0.000115145	N/A	N/A	5.646	0.010806288	99	47	-1	99	294.2391	294.2391
"Feces,Blank,Food"	0.000317894	0.000441525	0	8.89E-05	0.000101063	9.64E-05	0.000339771	0.000594158	0.000929186	0.000324466	2.26E-06	0.000135476	0.000167641	9.86E-05	0.000454383	1.83E-05	0.000260758	9.44E-06	0.000213084	2.28E-07	0.000590799	0.000739155	0.000223159	2.20E-05	0.000200464	N/A	N/A	3.7776	0.03573921	101	48	8007	101	213.1589	213.1589
"Feces,Blank"	0.00012518	0.000309028	4.15E-05	4.37E-05	4.26E-05	0.000162039	7.59E-05	0.000253192	0.000204801	0.000146284	0	0.000133884	3.66E-05	0.000104522	0.000185342	0.000101493	0.000135706	0	0.000125262	0	0.000205945	0.000217012	8.57E-05	5.02E-05	0.000216377	N/A	N/A	5.6629	0.016552673	104	49	-1	104	435.2335	435.2335
"Feces,Blank"	9.91E-05	0.001058396	3.42E-05	3.38E-05	3.43E-05	0.000160604	9.10E-05	0.000217715	0.000250997	0.000143187	0	0.00014542	6.74E-05	8.32E-05	0.000185307	0.000117541	0.000135068	0	0.00012428	0	0.000154802	0.000233716	8.61E-05	3.10E-05	0.000187771	N/A	N/A	6.2188	0.0194778	106	50	1083	106	329.2283	329.2283
"Feces,Blank,Food"	6.35E-05	0.000558029	3.20E-05	2.30E-05	2.27E-05	0.000112943	5.72E-05	0.000139014	0.000171176	9.87E-05	1.85E-06	0.000120469	3.50E-05	6.69E-05	0.000125277	7.55E-05	0.000117786	5.21E-07	9.11E-05	1.38E-06	8.02E-05	0.000157578	4.83E-05	2.42E-05	0.000126801	N/A	N/A	8.1403	0.01273091	112	51	-1	112	297.239	297.239
"Feces,Blank,Food"	0.000234517	0.000314635	0	6.62E-05	7.48E-05	7.04E-05	0.000240801	0.000454739	0.00067035	0.000232986	6.94E-06	9.74E-05	0.000138108	6.98E-05	0.000323579	4.26E-05	0.000178343	1.28E-05	0.000153574	5.68E-06	0.000451523	0.000553365	0.000166773	1.92E-05	0.000111073	N/A	N/A	3.4614	0.025844012	102	52	-1	102	213.159	213.159
"Feces,Blank,Food"	0.000343749	0.001356222	0.000193298	0.000244247	0.000242079	0.000662626	0.000314732	0.00052282	0.00093633	0.000577629	1.70E-05	0.000468243	9.11E-05	0.000342759	0.000735361	0.000541579	0.000527233	5.33E-06	0.000477228	2.06E-05	0.00066516	0.000937101	0.000316409	0.000256175	0.000802658	Spectral_Match_to_Phytosphingosine_from_NIST14	0.927208	5.9429	0.066539734	143	53	492	143	318.2992	318.2992
"Feces,Blank"	0	0.000296196	0	3.96E-06	3.36E-06	7.58E-05	0	0	0	1.85E-05	0	9.93E-05	0	3.54E-05	6.31E-06	0	6.26E-05	0	4.10E-05	0	0	7.92E-06	0	7.24E-06	0	N/A	N/A	4.5888	0.003207403	27	54	-1	27	295.093	295.093
"Feces,Blank,Food"	0.000214584	0.001399607	4.32E-05	6.90E-05	6.08E-05	0.000187987	0.000101639	0.000269865	0.000254957	0.000167865	1.22E-05	0.000222915	4.95E-05	9.63E-05	0.000196633	0.000125911	0.000152402	5.66E-06	0.000165168	1.38E-05	0.000151093	0.000245814	8.48E-05	0.000114183	0.000204718	N/A	N/A	7.8312	0.023938992	141	55	-1	141	375.2495	375.2495
